model_id,overlay_model_id,research_id,signal_date,confirmation_date,confirmation_age_trading_days,tdcc_signal_date,tdcc_signal_age_days,stock_id,stock_name,market,market_regime,trigger_id,trigger_name_zh,confirmation_rule_zh,matched_trigger_ids,selected_trigger_id,selected_confirmation_date,selected_trigger_priority,selected_for_formal_operation,operation_selection_status,entry_rule_id,entry_date,entry_price,entry_price_source,stop_loss_rule_id,stop_loss_level,exit_rule_id,exit_date,exit_price,exit_reason,holding_days,return_pct,mfe_pct,mae_pct,out_of_sample,classification_id,classification_name_zh,attack_method,attack_method_name_zh,price_position_type,price_position_name_zh,follow_through_type,follow_through_name_zh,risk_type,risk_name_zh,candle_quality,candle_quality_name_zh,consolidation_type,consolidation_name_zh,volume_ratio,signal_return_1d_pct,signal_open,signal_high,signal_low,signal_close,confirmation_open,confirmation_high,confirmation_low,confirmation_close,confirmation_ma5,confirmation_ma10,range_width_20_pct,range_width_40_pct,range_width_60_pct,low_position_60_pct,limit_up_like,tdcc_list_type,tdcc_rank,tdcc_ranking_score,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_effective_increase_count,tdcc_high_pair_effective_streak_weeks,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,theme,theme_mainstream_status,approved_for_daily,operation_lifecycle_definition_id,operation_lifecycle_state,sample_maturity_status,mature_sample_eligible
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250507,20250508,1,,,4545,銘鈺,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20250508,2,True,selected_formal_operation,confirmation_next_open,20250509,49.2,confirmation_next_open,signal_low_stop,40.8,signal_low_stop_or_fixed_10d_close,20250509,40.8,stop_signal_low,1,-17.0732,0.0,-17.5813,False,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,unknown_position,位階資料不足,break_signal_low,跌破訊號低點,breakout_failure,突破失敗,close_at_high,收最高,non_consolidation,非盤整,2.2357,9.973,40.8,40.8,40.8,40.8,44.85,44.85,44.85,44.85,38.89,36.07,37.2051,,,,True,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250507,20250508,1,,,6807,峰源-KY,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250508,2,True,selected_formal_operation,confirmation_next_open,20250509,80.4,confirmation_next_open,signal_low_stop,75.0,signal_low_stop_or_fixed_10d_close,20250516,75.0,stop_signal_low,6,-6.7164,0.6219,-7.5871,False,standard_breakout,一般突破,volume_attack,放量攻擊,unknown_position,位階資料不足,next_day_continuation,隔日續強,normal_risk,一般風險,standard_candle,一般K棒,non_consolidation,非盤整,3.9796,4.0,75.0,79.3,75.0,78.0,78.0,80.0,77.8,80.0,74.94,70.74,40.0,,,,False,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250507,20250508,1,,,9907,統一實,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250508,2,True,selected_formal_operation,confirmation_next_open,20250509,20.3,confirmation_next_open,signal_low_stop,19.0,signal_low_stop_or_fixed_10d_close,20250523,20.6,fixed_10d_close,10,1.4778,5.665,-0.7389,False,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,unknown_position,位階資料不足,next_day_gap_fade,隔日開高走低,volume_overheat,量能過熱,close_at_high,收最高,non_consolidation,非盤整,7.643,9.9448,19.2,19.9,19.0,19.9,20.45,20.55,19.55,20.25,18.89,18.415,22.6974,,,,True,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250508,20250509,1,,,1512,瑞利,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed|pullback_10ma_confirmed,next_day_break_signal_high_confirmed,20250509,2,True,selected_formal_operation,confirmation_next_open,20250512,7.92,confirmation_next_open,signal_low_stop,7.53,signal_low_stop_or_fixed_10d_close,20250526,8.88,fixed_10d_close,10,12.1212,28.7879,0.0,False,standard_breakout,一般突破,volume_attack,放量攻擊,unknown_position,位階資料不足,next_day_gap_fade,隔日開高走低,volume_overheat,量能過熱,explosive_long_red,爆量長紅,non_consolidation,非盤整,5.9389,6.1008,7.53,8.29,7.53,8.0,8.4,8.4,8.01,8.35,7.75,7.397,34.4523,,,,False,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250508,20250509,1,,,1526,日馳,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed|pullback_10ma_confirmed,next_day_break_signal_high_confirmed,20250509,2,True,selected_formal_operation,confirmation_next_open,20250512,23.8,confirmation_next_open,signal_low_stop,19.6,signal_low_stop_or_fixed_10d_close,20250526,22.5,fixed_10d_close,10,-5.4622,0.0,-7.7731,False,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,unknown_position,位階資料不足,next_day_continuation,隔日續強,normal_risk,一般風險,close_at_high,收最高,short_consolidation,短盤整,3.845,9.7938,19.6,21.3,19.6,21.3,22.8,23.35,21.85,22.8,20.41,19.77,12.8205,,,,True,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250508,20250509,1,,,2331,精英,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250509,2,True,selected_formal_operation,confirmation_next_open,20250512,17.2,confirmation_next_open,signal_low_stop,16.25,signal_low_stop_or_fixed_10d_close,20250526,18.8,fixed_10d_close,10,9.3023,16.2791,-2.907,False,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,unknown_position,位階資料不足,next_day_gap_fade,隔日開高走低,normal_risk,一般風險,close_at_high,收最高,non_consolidation,非盤整,2.1261,9.7403,16.25,16.9,16.25,16.9,18.2,18.2,16.9,17.0,16.02,15.765,20.8333,,,,True,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250508,20250509,1,,,2383,台光電,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250509,2,True,selected_formal_operation,confirmation_next_open,20250512,681.0,confirmation_next_open,signal_low_stop,625.0,signal_low_stop_or_fixed_10d_close,20250526,707.0,fixed_10d_close,10,3.8179,6.9016,-3.2305,False,standard_breakout,一般突破,general_breakout,一般突破,unknown_position,位階資料不足,next_day_continuation,隔日續強,normal_risk,一般風險,standard_candle,一般K棒,non_consolidation,非盤整,2.4077,8.1699,647.0,665.0,625.0,662.0,667.0,690.0,659.0,679.0,640.0,605.5,56.0197,,,,False,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250508,20250509,1,,,2439,美律,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250509,2,True,selected_formal_operation,confirmation_next_open,20250512,124.5,confirmation_next_open,signal_low_stop,114.0,signal_low_stop_or_fixed_10d_close,20250526,123.5,fixed_10d_close,10,-0.8032,2.4096,-1.6064,False,standard_breakout,一般突破,general_breakout,一般突破,unknown_position,位階資料不足,next_day_continuation,隔日續強,normal_risk,一般風險,standard_candle,一般K棒,non_consolidation,非盤整,2.1416,4.8458,114.5,121.0,114.0,119.0,121.0,124.0,119.0,122.0,115.9,114.55,24.5937,,,,False,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250508,20250509,1,,,3090,日電貿,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250509,2,True,selected_formal_operation,confirmation_next_open,20250512,74.7,confirmation_next_open,signal_low_stop,68.7,signal_low_stop_or_fixed_10d_close,20250526,75.1,fixed_10d_close,10,0.5355,3.8822,-2.5435,False,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,unknown_position,位階資料不足,next_day_continuation,隔日續強,normal_risk,一般風險,close_at_high,收最高,non_consolidation,非盤整,4.2545,9.9225,69.3,70.9,68.7,70.9,70.9,74.0,70.4,73.7,67.28,65.68,21.5722,,,,True,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250509,20250512,1,,,3090,日電貿,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250512,2,True,selected_formal_operation,confirmation_next_open,20250513,74.0,confirmation_next_open,signal_low_stop,70.4,signal_low_stop_or_fixed_10d_close,20250527,74.9,fixed_10d_close,10,1.2162,4.8649,-1.2162,False,standard_breakout,一般突破,volume_attack,放量攻擊,unknown_position,位階資料不足,next_day_gap_fade,隔日開高走低,volume_overheat,量能過熱,standard_candle,一般K棒,non_consolidation,非盤整,9.0954,3.9492,70.9,74.0,70.4,73.7,74.7,74.9,72.8,73.7,69.36,66.81,29.6161,,,,False,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250509,20250512,1,,,6165,浪凡,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|pullback_5ma_confirmed|pullback_10ma_confirmed,next_day_break_signal_high_confirmed,20250512,2,True,selected_formal_operation,confirmation_next_open,20250513,61.4,confirmation_next_open,signal_low_stop,56.8,signal_low_stop_or_fixed_10d_close,20250519,56.8,stop_signal_low,5,-7.4919,2.6059,-7.9805,False,standard_breakout,一般突破,general_breakout,一般突破,unknown_position,位階資料不足,pullback_10ma,回測10MA,normal_risk,一般風險,standard_candle,一般K棒,non_consolidation,非盤整,2.0428,7.2056,56.8,62.0,56.8,61.0,61.0,62.4,59.6,61.3,58.6,56.57,55.0649,,,,False,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250509,20250512,1,,,6442,光聖,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20250512,2,True,selected_formal_operation,confirmation_next_open,20250513,444.0,confirmation_next_open,signal_low_stop,384.5,signal_low_stop_or_fixed_10d_close,20250527,455.0,fixed_10d_close,10,2.4775,6.1937,-3.0405,False,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,unknown_position,位階資料不足,next_day_continuation,隔日續強,normal_risk,一般風險,close_at_high,收最高,non_consolidation,非盤整,2.9505,9.9227,390.0,426.5,384.5,426.5,435.5,448.0,423.5,435.5,390.9,373.55,31.0811,,,,True,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,20250509,20250512,1,,,8210,勤誠,listed,range_or_mixed,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed|pullback_5ma_confirmed,next_day_break_signal_high_confirmed,20250512,2,True,selected_formal_operation,confirmation_next_open,20250513,299.5,confirmation_next_open,signal_low_stop,281.0,signal_low_stop_or_fixed_10d_close,20250527,323.0,fixed_10d_close,10,7.8464,9.5159,-4.1736,False,standard_breakout,一般突破,volume_attack,放量攻擊,unknown_position,位階資料不足,next_day_continuation,隔日續強,stop_loss_easy_trigger,停損容易被打到,explosive_long_red,爆量長紅,non_consolidation,非盤整,3.2206,5.5147,286.0,295.0,281.0,287.0,295.0,297.0,290.5,295.0,275.9,263.45,45.9893,,,,False,no_tdcc,,,,,,,,,,,,,False,daily_volume_breakout_operation_lifecycle_v1,expired,mature,True
