# PRICE_WINDOW_136

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,18.1,18.15,17.85,18.15,1540907,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,18.2,18.7,18.2,18.6,6028562,,,,,,2.4793,,,,,

PRICE_WINDOW_180_ROW_003=20251105,18.7,19.5,18.65,19.4,16829687,,,,,,4.3011,,,,,

PRICE_WINDOW_180_ROW_004=20251106,19.6,20.4,19.55,19.85,10473321,,,,,,2.3196,,,,,

PRICE_WINDOW_180_ROW_005=20251107,19.8,20.35,19.75,19.95,9824099,19.19,19.19,19.19,19.19,18.5463,0.5038,,,1.099,3.9604,-2.2059

PRICE_WINDOW_180_ROW_006=20251110,20.15,20.5,20.0,20.15,8956077,19.59,19.35,19.35,19.35,18.6799,1.0025,11.0193,,1.0016,4.1344,-1.7073

PRICE_WINDOW_180_ROW_007=20251111,19.1,19.25,18.65,18.9,12251079,19.65,19.2857,19.2857,19.2857,18.6983,-6.2035,1.6129,,1.3013,-2.0,-7.8049

PRICE_WINDOW_180_ROW_008=20251112,18.9,19.25,18.8,18.9,6675483,19.55,19.2375,19.2375,19.2375,18.7151,0.0,-2.5773,,0.7358,-1.7544,-7.8049

PRICE_WINDOW_180_ROW_009=20251113,18.9,19.0,18.45,18.45,5587842,19.27,19.15,19.15,19.15,18.693,-2.381,-7.0529,,0.6434,-3.6554,-10.0

PRICE_WINDOW_180_ROW_010=20251114,18.45,18.75,18.35,18.5,2317111,18.98,19.085,19.085,19.085,18.6769,0.271,-7.2682,,0.2879,-3.0652,-9.7561

PRICE_WINDOW_180_ROW_011=20251117,18.45,18.7,18.35,18.65,2795844,18.68,19.0455,19.0455,19.0455,18.6747,0.8108,-7.4442,,0.3693,-2.0764,-9.0244

PRICE_WINDOW_180_ROW_012=20251118,18.45,18.5,17.65,17.9,7704879,18.48,18.95,18.95,18.95,18.6101,-4.0214,-5.291,,1.0162,-5.5409,-12.6829

PRICE_WINDOW_180_ROW_013=20251119,18.0,18.0,17.65,17.8,2821868,18.26,18.8615,18.8615,18.8615,18.5426,-0.5587,-5.8201,,0.3911,-5.6281,-13.1707

PRICE_WINDOW_180_ROW_014=20251120,17.9,18.2,17.85,18.15,2524909,18.2,18.8107,18.8107,18.8107,18.5099,1.9663,-1.626,,0.3669,-3.5124,-11.4634

PRICE_WINDOW_180_ROW_015=20251121,18.2,18.4,17.95,18.1,3477490,18.12,18.7633,18.7633,18.7633,18.4757,-0.2755,-2.1622,,0.5226,-3.5353,-11.7073

PRICE_WINDOW_180_ROW_016=20251124,18.05,18.3,17.9,18.15,2316346,18.02,18.725,18.725,18.725,18.4486,0.2762,-2.681,,0.3629,-3.0708,-11.4634

PRICE_WINDOW_180_ROW_017=20251125,18.15,18.25,18.0,18.25,1495023,18.09,18.6971,18.6971,18.6971,18.432,0.551,1.9553,,0.2453,-2.3911,-10.9756

PRICE_WINDOW_180_ROW_018=20251126,18.25,18.5,18.2,18.5,2690863,18.23,18.6861,18.6861,18.6861,18.4377,1.3699,3.9326,,0.4556,-0.996,-9.7561

PRICE_WINDOW_180_ROW_019=20251127,18.5,18.65,18.4,18.55,1564381,18.31,18.6789,18.6789,18.6789,18.4471,0.2703,2.2039,,0.2755,-0.6903,-9.5122

PRICE_WINDOW_180_ROW_020=20251128,18.45,18.9,18.45,18.75,3840438,18.44,18.6825,18.6825,18.6825,18.4723,1.0782,3.5912,,0.6875,0.3613,-8.5366

PRICE_WINDOW_180_ROW_021=20251201,18.7,19.1,18.55,18.55,2666657,18.52,18.7025,18.6762,18.6762,18.4788,-1.0667,2.2039,2.2039,0.4726,-0.8154,-9.5122

PRICE_WINDOW_180_ROW_022=20251202,18.6,18.9,18.55,18.65,1472931,18.6,18.705,18.675,18.675,18.493,0.5391,2.1918,0.2688,0.272,-0.294,-9.0244

PRICE_WINDOW_180_ROW_023=20251203,18.65,18.7,18.55,18.7,1376584,18.64,18.67,18.6761,18.6761,18.5103,0.2681,1.0811,-3.6082,0.2966,0.1607,-8.7805

PRICE_WINDOW_180_ROW_024=20251204,18.7,18.8,18.55,18.75,1569894,18.68,18.615,18.6792,18.6792,18.5303,0.2674,1.0782,-5.5416,0.3741,0.7252,-8.5366

PRICE_WINDOW_180_ROW_025=20251205,18.7,18.7,18.4,18.6,2957765,18.65,18.5475,18.676,18.676,18.5361,-0.8,-0.8,-6.7669,0.7676,0.2831,-9.2683

PRICE_WINDOW_180_ROW_026=20251208,18.6,18.85,18.6,18.8,1597506,18.7,18.48,18.6808,18.6808,18.5581,1.0753,1.3477,-6.6998,0.4584,1.7316,-8.2927

PRICE_WINDOW_180_ROW_027=20251209,18.8,18.95,18.75,18.9,1513281,18.75,18.48,18.6889,18.6889,18.5866,0.5319,1.3405,0.0,0.5133,2.2727,-7.8049

PRICE_WINDOW_180_ROW_028=20251210,18.8,18.8,18.35,18.4,2991128,18.69,18.455,18.6786,18.6786,18.571,-2.6455,-1.6043,-2.6455,1.0821,-0.298,-10.2439

PRICE_WINDOW_180_ROW_029=20251211,18.2,18.35,18.0,18.2,3444788,18.58,18.4425,18.6621,18.6621,18.5401,-1.087,-2.9333,-1.355,1.2965,-1.3149,-11.2195

PRICE_WINDOW_180_ROW_030=20251212,18.15,18.35,18.15,18.2,1019988,18.5,18.4275,18.6467,18.6467,18.5118,0.0,-2.1505,-1.6216,0.3935,-1.2346,-11.2195

PRICE_WINDOW_180_ROW_031=20251215,18.2,18.5,18.1,18.5,2430634,18.44,18.42,18.6419,18.6419,18.5108,1.6484,-1.5957,-0.8043,0.9444,0.4343,-9.7561

PRICE_WINDOW_180_ROW_032=20251216,18.3,18.45,18.2,18.25,4363897,18.31,18.4375,18.6297,18.6297,18.489,-1.3514,-3.4392,1.9553,1.8131,-1.0169,-10.9756

