review_code,msci_index_segment,effective_date,action,msci_company_name,stock_id,mapping_status,event_type,source_url,error_message,entry_date,entry_open,sample_status,stock_name,market,benchmark_code,mature_ret_d5,ret_d5_exit_date,ret_d5_close,ret_d5_return,ret_d5_benchmark_return,ret_d5_relative_return,mature_ret_d10,ret_d10_exit_date,ret_d10_close,ret_d10_return,ret_d10_benchmark_return,ret_d10_relative_return,mature_ret_d15,ret_d15_exit_date,ret_d15_close,ret_d15_return,ret_d15_benchmark_return,ret_d15_relative_return,mature_ret_d20,ret_d20_exit_date,ret_d20_close,ret_d20_return,ret_d20_benchmark_return,ret_d20_relative_return
Feb25,global_standard,20250228,addition,ELITE MATERIAL CO,2383,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/stdindex/MSCI_Feb25_STPublicList.pdf,,20250407,474.5,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,global_standard,20250228,deletion,NANYA TECHNOLOGY,2408,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/stdindex/MSCI_Feb25_STPublicList.pdf,,20250407,37.0,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,global_standard,20250228,deletion,WALSIN LIHWA CORP,1605,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/stdindex/MSCI_Feb25_STPublicList.pdf,,20250407,21.85,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,small_cap,20250228,addition,ALL RING TECH,6187,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,,20250407,1225.0,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,small_cap,20250228,addition,CALIWAY BIOPHARMA,6919,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,,20250407,703.0,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,small_cap,20250228,addition,NANYA TECHNOLOGY,2408,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,,20250407,37.0,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,small_cap,20250228,addition,PLAYNITRIDE,6854,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,,20250407,135.0,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,small_cap,20250228,addition,POSIFLEX,8114,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,,20250407,253.5,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,small_cap,20250228,addition,SPORTS GEAR,6768,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,,20250407,112.5,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25,small_cap,20250228,addition,STARLUX AIRLINES,2646,mapped,msci_index_rebalance,https://www.msci.com/eqb/gimi/smallcap/MSCI_Feb25_SCPublicList.pdf,,20250407,23.4,price_history_starts_after_event,,,,,,,,,,,,,,,,,,,,,,,,,,,
