as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260430,64.89,,,,63.81,,,,63.61,,,,62.95,,,,0,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260508,64.86,-0.030000000000001137,,,63.79,-0.020000000000003126,,,63.59,-0.01999999999999602,,,62.93,-0.020000000000003126,,,0,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260515,64.86,0.0,-0.030000000000001137,,63.65,-0.14000000000000057,-0.1600000000000037,,63.65,0.05999999999999517,0.03999999999999915,,62.99,0.060000000000002274,0.03999999999999915,,1,False,True,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260522,64.67,-0.18999999999999773,-0.18999999999999773,-0.21999999999999886,63.6,-0.04999999999999716,-0.18999999999999773,-0.21000000000000085,63.6,-0.04999999999999716,0.00999999999999801,-0.00999999999999801,62.94,-0.05000000000000426,0.00999999999999801,-0.010000000000005116,0,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260529,64.64,-0.030000000000001137,-0.21999999999999886,-0.21999999999999886,63.57,-0.030000000000001137,-0.0799999999999983,-0.21999999999999886,63.57,-0.030000000000001137,-0.0799999999999983,-0.020000000000003126,62.91,-0.030000000000001137,-0.0800000000000054,-0.020000000000003126,0,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260605,64.64,0.0,-0.030000000000001137,-0.21999999999999886,63.57,0.0,-0.030000000000001137,-0.0799999999999983,63.57,0.0,-0.030000000000001137,-0.0799999999999983,62.91,0.0,-0.030000000000001137,-0.0800000000000054,0,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260612,64.69,0.04999999999999716,0.04999999999999716,0.01999999999999602,63.62,0.04999999999999716,0.04999999999999716,0.01999999999999602,63.62,0.04999999999999716,0.04999999999999716,0.01999999999999602,62.96,0.05000000000000426,0.05000000000000426,0.020000000000003126,1,True,True,True,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260618,64.77,0.0799999999999983,0.12999999999999545,0.12999999999999545,63.72,0.10000000000000142,0.14999999999999858,0.14999999999999858,63.52,-0.09999999999999432,-0.04999999999999716,-0.04999999999999716,62.86,-0.10000000000000142,-0.04999999999999716,-0.04999999999999716,2,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260626,64.67,-0.09999999999999432,-0.01999999999999602,0.030000000000001137,63.75,0.030000000000001137,0.13000000000000256,0.17999999999999972,63.55,0.02999999999999403,-0.07000000000000028,-0.020000000000003126,62.89,0.030000000000001137,-0.07000000000000028,-0.01999999999999602,3,False,True,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260703,64.69,0.01999999999999602,-0.0799999999999983,0.0,63.77,0.020000000000003126,0.05000000000000426,0.15000000000000568,63.57,0.020000000000003126,0.04999999999999716,-0.04999999999999716,62.91,0.01999999999999602,0.04999999999999716,-0.05000000000000426,4,True,True,True,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260709,64.61,-0.0799999999999983,-0.060000000000002274,-0.1599999999999966,63.69,-0.0800000000000054,-0.060000000000002274,-0.030000000000001137,63.49,-0.0799999999999983,-0.05999999999999517,-0.030000000000001137,62.83,-0.0799999999999983,-0.060000000000002274,-0.030000000000001137,0,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260717,64.68,0.07000000000000739,-0.009999999999990905,0.010000000000005116,63.47,-0.21999999999999886,-0.30000000000000426,-0.28000000000000114,63.47,-0.020000000000003126,-0.10000000000000142,-0.0799999999999983,62.81,-0.01999999999999602,-0.09999999999999432,-0.0799999999999983,1,False,False,False,,,tdcc-20260717-98c564c5bc4ab725,complete,
