as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260529,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260605,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260612,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260618,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260626,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260703,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260709,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260717,49.57,0.7000000000000028,0.7000000000000028,0.7000000000000028,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,1,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260724,48.87,-0.7000000000000028,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260731,48.87,0.0,-0.7000000000000028,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260807,48.87,0.0,0.0,-0.7000000000000028,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
20260814,48.87,0.0,0.0,0.0,48.05,0.0,0.0,0.0,45.49,0.0,0.0,0.0,44.07,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
