# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates

TDCC_WINDOW_ROW_001=20260529,50.82,-0.03999999999999915,-0.03999999999999915,-0.6799999999999997,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_002=20260605,50.81,-0.00999999999999801,-0.04999999999999716,-0.04999999999999716,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_003=20260612,50.81,0.0,-0.00999999999999801,-0.04999999999999716,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_004=20260618,50.8,-0.010000000000005116,-0.010000000000005116,-0.020000000000003126,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_005=20260626,50.8,0.0,-0.010000000000005116,-0.010000000000005116,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_006=20260703,50.8,0.0,0.0,-0.010000000000005116,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_007=20260709,50.79,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_008=20260717,50.79,0.0,-0.00999999999999801,-0.00999999999999801,49.27,0.0,0.0,0.0,45.96,0.0,0.0,0.0,45.96,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_009=20260724,50.7,-0.0899999999999963,-0.0899999999999963,-0.09999999999999432,49.18,-0.09000000000000341,-0.09000000000000341,-0.09000000000000341,45.87,-0.09000000000000341,-0.09000000000000341,-0.09000000000000341,45.87,-0.09000000000000341,-0.09000000000000341,-0.09000000000000341,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_010=20260731,50.52,-0.17999999999999972,-0.269999999999996,-0.269999999999996,49.09,-0.0899999999999963,-0.17999999999999972,-0.17999999999999972,45.78,-0.0899999999999963,-0.17999999999999972,-0.17999999999999972,45.78,-0.0899999999999963,-0.17999999999999972,-0.17999999999999972,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_011=20260807,50.45,-0.07000000000000028,-0.25,-0.3399999999999963,49.02,-0.07000000000000028,-0.1599999999999966,-0.25,45.71,-0.07000000000000028,-0.1599999999999966,-0.25,45.71,-0.07000000000000028,-0.1599999999999966,-0.25,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_012=20260814,50.42,-0.030000000000001137,-0.10000000000000142,-0.28000000000000114,48.98,-0.04000000000000625,-0.11000000000000654,-0.20000000000000284,45.67,-0.03999999999999915,-0.10999999999999943,-0.19999999999999574,45.67,-0.03999999999999915,-0.10999999999999943,-0.19999999999999574,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,
