# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates

TDCC_WINDOW_ROW_001=20260529,19.79,0.28999999999999915,0.75,0.759999999999998,17.15,0.75,0.75,0.759999999999998,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,4,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_002=20260605,19.12,-0.6699999999999982,-0.379999999999999,0.08000000000000185,16.48,-0.6699999999999982,0.08000000000000185,0.08000000000000185,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_003=20260612,19.12,0.0,-0.6699999999999982,-0.379999999999999,16.48,0.0,-0.6699999999999982,0.08000000000000185,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_004=20260618,19.12,0.0,0.0,-0.6699999999999982,16.48,0.0,0.0,-0.6699999999999982,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_005=20260626,19.62,0.5,0.5,0.5,16.49,0.00999999999999801,0.00999999999999801,0.00999999999999801,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,1,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_006=20260703,19.64,0.019999999999999574,0.5199999999999996,0.5199999999999996,16.51,0.020000000000003126,0.030000000000001137,0.030000000000001137,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,2,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_007=20260709,19.65,0.00999999999999801,0.029999999999997584,0.5299999999999976,16.52,0.00999999999999801,0.030000000000001137,0.03999999999999915,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,3,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_008=20260717,19.73,0.08000000000000185,0.08999999999999986,0.10999999999999943,16.6,0.08000000000000185,0.08999999999999986,0.11000000000000298,13.48,0.0,0.0,0.0,13.48,0.0,0.0,0.0,4,False,False,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_009=20260724,19.98,0.25,0.33000000000000185,0.33999999999999986,16.85,0.25,0.33000000000000185,0.33999999999999986,14.57,1.0899999999999999,1.0899999999999999,1.0899999999999999,13.48,0.0,0.0,0.0,5,False,True,False,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_010=20260731,20.19,0.21000000000000085,0.46000000000000085,0.5400000000000027,17.06,0.2099999999999973,0.4599999999999973,0.5399999999999991,14.78,0.20999999999999908,1.299999999999999,1.299999999999999,14.78,1.299999999999999,1.299999999999999,1.299999999999999,6,True,True,True,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_011=20260807,20.22,0.029999999999997584,0.23999999999999844,0.48999999999999844,17.09,0.030000000000001137,0.23999999999999844,0.48999999999999844,14.81,0.030000000000001137,0.2400000000000002,1.33,14.81,0.030000000000001137,1.33,1.33,7,True,True,True,,,tdcc-20260814-4a7d44bd65038f59,complete,

TDCC_WINDOW_ROW_012=20260814,20.33,0.10999999999999943,0.13999999999999702,0.34999999999999787,17.17,0.08000000000000185,0.11000000000000298,0.3200000000000003,14.89,0.08000000000000007,0.11000000000000121,0.3200000000000003,14.89,0.08000000000000007,0.11000000000000121,1.4100000000000001,8,True,True,True,,,tdcc-20260814-4a7d44bd65038f59,complete,
