# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates

TDCC_WINDOW_ROW_001=20260430,35.25,,,,33.48,,,,29.21,,,,29.21,,,,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_002=20260508,35.19,-0.060000000000002274,,,33.42,-0.05999999999999517,,,29.21,0.0,,,29.21,0.0,,,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_003=20260515,35.22,0.030000000000001137,-0.030000000000001137,,33.45,0.030000000000001137,-0.02999999999999403,,29.21,0.0,0.0,,29.21,0.0,0.0,,1,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_004=20260522,35.2,-0.01999999999999602,0.010000000000005116,-0.04999999999999716,33.43,-0.020000000000003126,0.00999999999999801,-0.04999999999999716,29.21,0.0,0.0,0.0,29.21,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_005=20260529,35.25,0.04999999999999716,0.030000000000001137,0.060000000000002274,33.48,0.04999999999999716,0.02999999999999403,0.05999999999999517,31.64,2.4299999999999997,2.4299999999999997,2.4299999999999997,29.21,0.0,0.0,0.0,1,False,True,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_006=20260605,34.74,-0.509999999999998,-0.46000000000000085,-0.4799999999999969,31.64,-1.8399999999999963,-1.7899999999999991,-1.8100000000000023,31.64,0.0,2.4299999999999997,2.4299999999999997,29.21,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_007=20260612,34.63,-0.10999999999999943,-0.6199999999999974,-0.5700000000000003,31.64,0.0,-1.8399999999999963,-1.7899999999999991,31.64,0.0,0.0,2.4299999999999997,29.21,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_008=20260618,33.42,-1.2100000000000009,-1.3200000000000003,-1.8299999999999983,31.65,0.00999999999999801,0.00999999999999801,-1.8299999999999983,31.65,0.00999999999999801,0.00999999999999801,0.00999999999999801,29.21,0.0,0.0,0.0,1,False,True,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_009=20260626,33.43,0.00999999999999801,-1.2000000000000028,-1.3100000000000023,31.66,0.010000000000001563,0.019999999999999574,0.019999999999999574,31.66,0.010000000000001563,0.019999999999999574,0.019999999999999574,29.21,0.0,0.0,0.0,2,False,True,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_010=20260703,33.43,0.0,0.00999999999999801,-1.2000000000000028,31.66,0.0,0.010000000000001563,0.019999999999999574,31.66,0.0,0.010000000000001563,0.019999999999999574,29.21,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_011=20260709,33.43,0.0,0.0,0.00999999999999801,31.66,0.0,0.0,0.010000000000001563,31.66,0.0,0.0,0.010000000000001563,29.21,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,

TDCC_WINDOW_ROW_012=20260717,33.43,0.0,0.0,0.0,31.66,0.0,0.0,0.0,31.66,0.0,0.0,0.0,29.21,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260717-494211df6cae54ae,complete,
