Date,SecuritiesCompanyCode,CompanyName,TradingInformation,ClosePrice,PriceEarningRatio
1150601,2061,風青,最近六個營業日(含當日)累積之最後成交價漲幅達42.3%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達150.15%(第二款),39.90,N/A
1150601,24642,盟立二,最近六個營業日(含當日)累積之最後成交價漲幅達33.36%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達111.1%(第二款),251.00,N/A
1150601,3191,雲嘉南,最近六個營業日(含當日)累積之最後成交價漲幅達42.85%(第一款)當日之成交量較最近六十個營業日日平均成交量放大15.01倍(第三款),24.70,112.27
1150601,3234,光環,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達164.8%(第二款),118.50,N/A
1150601,3324,雙鴻,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣135元(第十一款),1145.00,33.04
1150601,3485,敘豐,最近六個營業日(含當日)累積之最後成交價漲幅達34.11%(第一款),367.00,70.99
1150601,3523,迎輝,最近六個營業日(含當日)累積之最後成交價漲幅達58.73%(第一款),17.50,N/A
1150601,3556,禾瑞亞,最近六個營業日(含當日)累積之最後成交價漲幅達31.46%(第一款),73.90,25.31
1150601,4549,桓達,最近六個營業日(含當日)累積之最後成交價漲幅達28.08%，當日之成交量較最近六十個營業日日平均成交量放大9.04倍(第三款)當日週轉率達5.16%(第四款),136.50,44.75
1150601,47602,勤凱二,最近六個營業日(含當日)累積之最後成交價漲幅達44.99%(第一款),170.00,N/A
1150601,4939,亞電,最近六個營業日(含當日)累積之最後成交價漲幅達35.46%(第一款),55.50,N/A
1150601,4973,廣穎,最近六個營業日(含當日)累積之最後成交價漲幅達32.12%(第一款)當日週轉率達16.01%(第四款),156.50,16.65
1150601,4979,華星光,當日本益比為117.54、股價淨值比為22.39且為其所屬產業類別股價淨值比之2.76倍、當日週轉率達6.47%(第六款),650.00,117.54
1150601,5289,宜鼎,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣220元(第十一款),1905.00,25.62
1150601,5321,美而快,最近六個營業日(含當日)累積之最後成交價漲幅達41.1%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達140.16%(第二款),57.40,N/A
1150601,5328,華容,最近六個營業日(含當日)之累積週轉率為116.41%，當日週轉率達26.02%(第十款),39.80,88.44
1150601,5475,德宏,"當日本益比為1,291.30、股價淨值比為39.65且為其所屬產業類別股價淨值比之7.86倍、當日週轉率達6.07%、摩根士丹利證券公司當日買進該有價證券之成交金額達4.85億元，且占當日該有價證券之總成交金額22.12%、單一投資人當日買進該有價證券之成交金額達4.85億元，且占當日該有價證券之總成交金額22.12%(第六款)",297.00,1291.30
1150601,6127,九豪,最近六個營業日(含當日)累積之最後成交價漲幅達35.99%(第一款)當日週轉率達8.66%(第四款)元大證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為32.51%(第五款),74.00,N/A
1150601,6147,頎邦,最近六個營業日(含當日)累積之最後成交價漲幅達29.85%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣48.5元(第一款)當日週轉率達11.9%(第四款),285.50,83.48
1150601,6182,合晶,最近六個營業日(含當日)累積之最後成交價漲幅達34.37%(第一款),97.00,2425.00
1150601,61828,合晶八,最近六個營業日(含當日)累積之最後成交價漲幅達34.78%(第一款),289.00,N/A
1150601,6207,雷科,最近六個營業日(含當日)累積之最後成交價漲幅達32.59%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達114.16%(第二款)當日週轉率達10.65%(第四款),122.50,194.44
1150601,62075,雷科五,最近六個營業日(含當日)累積之最後成交價漲幅達34.28%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達104.23%(第二款),241.00,N/A
1150601,62076,雷科六,最近六個營業日(含當日)累積之最後成交價漲幅達31.18%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達105.08%(第二款),242.00,N/A
1150601,6223,旺矽,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣520元(第十一款),5680.00,151.22
1150601,6290,良維,最近六個營業日(含當日)累積之最後成交價漲幅達28.82%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣65元(第一款)當日週轉率達5.01%(第四款),367.00,42.82
1150601,629010,良維十,最近六個營業日(含當日)累積之最後成交價漲幅達27.43%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣110元(第一款),475.00,N/A
1150601,6488,環球晶,最近六個營業日(含當日)累積之最後成交價漲幅達29.95%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣162元(第一款),950.00,58.61
1150601,6548,長科*,最近六個營業日(含當日)累積之最後成交價漲幅達38.28%(第一款),75.00,45.73
1150601,6584,南俊國際,當日本益比為95.68、股價淨值比為14.47且為其所屬產業類別股價淨值比之2.87倍、當日週轉率達7.24%(第六款),731.00,95.68
1150601,6640,均華,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣155元(第十一款),1315.00,81.68
1150601,6654,天正國際,最近六個營業日(含當日)累積之最後成交價漲幅達59.18%(第一款),169.00,456.76
1150601,704710,精材元大58購03,最近六個營業日(含當日)累積之最後成交價漲幅達52.18%(第一款),5.55,N/A
1150601,705031,訊聯群益5A購02,最近六個營業日(含當日)累積之最後成交價漲幅達40.12%(第一款),3.45,N/A
1150601,76101,聯友金屬一創,最近六個營業日(含當日)累積之最後成交價漲幅達33.08%(第一款),184.00,N/A
1150601,7709,榮田,最近六個營業日(含當日)累積之最後成交價漲幅達30.67%(第一款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達216.81%(第二款),121.50,60.15
1150601,8042,金山電,最近六個營業日(含當日)累積之最後成交價漲幅達33.03%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達161.2%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達207.83%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達168.68%(第二款)富邦證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為55.6%，富邦證券公司當日受託賣出該有價證券之成交量占當日該有價證券總成交量之比率為42.52%(第五款),169.00,53.99
1150601,8277,商丞,最近六個營業日(含當日)累積之最後成交價漲幅達31.61%(第一款),9.47,N/A
1150601,8299,群聯,最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣290元(第十一款),2770.00,26.50
1150601,8358,金居,最近六個營業日(含當日)累積之最後成交價漲幅達25.81%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣123元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣123元(第十一款),668.00,128.21
1150601,84732,山林水二,最近六個營業日(含當日)累積之最後成交價漲幅達35.54%(第一款),158.00,N/A
