# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260327,41.82,0.10999999999999943,37.54,0.11999999999999744,34.77,0.7600000000000051,31.7,0.39000000000000057,17,True,True,True,,

TDCC_WINDOW_ROW_002=20260402,41.91,0.0899999999999963,37.43,-0.10999999999999943,34.96,0.18999999999999773,32.26,0.5599999999999987,18,False,True,False,,

TDCC_WINDOW_ROW_003=20260410,41.02,-0.8899999999999935,36.48,-0.9500000000000028,33.65,-1.3100000000000023,30.88,-1.379999999999999,0,False,False,False,,

TDCC_WINDOW_ROW_004=20260417,41.12,0.09999999999999432,36.58,0.10000000000000142,33.76,0.10999999999999943,30.99,0.10999999999999943,1,True,True,True,,

TDCC_WINDOW_ROW_005=20260424,41.07,-0.04999999999999716,36.51,-0.07000000000000028,33.69,-0.07000000000000028,30.56,-0.4299999999999997,0,False,False,False,,

TDCC_WINDOW_ROW_006=20260430,41.45,0.38000000000000256,36.73,0.21999999999999886,34.24,0.5500000000000043,30.72,0.16000000000000014,1,True,True,True,,

TDCC_WINDOW_ROW_007=20260508,42.02,0.5700000000000003,37.49,0.7600000000000051,34.44,0.19999999999999574,30.16,-0.5599999999999987,2,False,True,False,,

TDCC_WINDOW_ROW_008=20260515,42.64,0.6199999999999974,38.04,0.5499999999999972,35.27,0.8300000000000054,31.34,1.1799999999999997,3,True,True,True,,

TDCC_WINDOW_ROW_009=20260522,42.78,0.14000000000000057,38.42,0.38000000000000256,35.38,0.10999999999999943,31.87,0.5300000000000011,4,True,True,True,,

TDCC_WINDOW_ROW_010=20260529,44.7,1.9200000000000017,39.46,1.0399999999999991,35.76,0.37999999999999545,32.6,0.7300000000000004,5,True,True,True,,

TDCC_WINDOW_ROW_011=20260605,47.25,2.549999999999997,41.86,2.3999999999999986,38.49,2.730000000000004,34.65,2.049999999999997,6,True,True,True,,

TDCC_WINDOW_ROW_012=20260612,47.03,-0.21999999999999886,42.13,0.2700000000000031,37.82,-0.6700000000000017,34.29,-0.35999999999999943,7,False,False,False,,
