as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,76.08,,74.96,,72.09,,72.09,,0,False,False,False,,
20260508,76.09,0.010000000000005116,74.97,0.010000000000005116,72.09,0.0,72.09,0.0,1,False,False,False,,
20260515,76.12,0.030000000000001137,75.4,0.4300000000000068,72.09,0.0,72.09,0.0,2,False,False,False,,
20260522,76.12,0.0,75.4,0.0,72.09,0.0,72.09,0.0,0,False,False,False,,
20260529,76.13,0.009999999999990905,75.41,0.009999999999990905,72.09,0.0,72.09,0.0,1,False,False,False,,
